	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)
state24	0.1112***	0.0075	0.0127	0.0358	0.0933***	0.1136***	0.1116***	0.1281***	0.1283***	0.1257***	0.1549***	0.1609***	0.1429***	0.1218***	0.1206***	0.1643***	0.1228***	0.0537
	(0.016)	(0.022)	(0.023)	(0.029)	(0.033)	(0.036)	(0.037)	(0.040)	(0.039)	(0.038)	(0.040)	(0.037)	(0.039)	(0.038)	(0.040)	(0.038)	(0.040)	(0.041)
state25	0.1560***	-0.0114	0.0092	-0.0173	0.0790***	0.1068***	0.1354***	0.1634***	0.1814***	0.1883***	0.2475***	0.2611***	0.2384***	0.2264***	0.2293***	0.2466***	0.2046***	0.1237***
	(0.018)	(0.020)	(0.021)	(0.025)	(0.029)	(0.032)	(0.033)	(0.036)	(0.035)	(0.035)	(0.036)	(0.034)	(0.035)	(0.036)	(0.038)	(0.039)	(0.039)	(0.040)
state26	0.1255***	-0.0669***	-0.0779***	-0.0633**	-0.0286	0.0038	0.0331	0.0499	0.0983**	0.1061***	0.1452***	0.1407***	0.1410***	0.1443***	0.1562***	0.1809***	0.1441***	0.0707*
	(0.017)	(0.020)	(0.021)	(0.025)	(0.033)	(0.034)	(0.036)	(0.037)	(0.038)	(0.037)	(0.036)	(0.034)	(0.036)	(0.038)	(0.039)	(0.036)	(0.038)	(0.039)
state27	0.2092***	0.1543***	0.1077***	0.0908**	0.1277***	0.2669***	0.2168***	0.1280**	0.1168**	0.1168**	0.1473***	0.1331**	0.1300**	0.1127**	0.1179**	0.1395***	0.0871*	0.0261
	(0.023)	(0.036)	(0.036)	(0.042)	(0.046)	(0.049)	(0.052)	(0.053)	(0.054)	(0.054)	(0.056)	(0.052)	(0.054)	(0.053)	(0.054)	(0.046)	(0.050)	(0.049)
Constant	-0.1452***	0.2229***	0.1588***	0.1252**	0.1329**	0.1528**	0.1116	0.1039	0.0751	0.0537	-0.0760	-0.0766	-0.0707	-0.0856	-0.0803	-0.0652	-0.0178	0.0511
	(0.026)	(0.037)	(0.046)	(0.059)	(0.062)	(0.070)	(0.071)	(0.076)	(0.080)	(0.080)	(0.084)	(0.074)	(0.078)	(0.076)	(0.075)	(0.071)	(0.080)	(0.077)
																		
Observations	405	405	405	405	405	405	405	405	405	405	405	405	405	405	405	405	405	405
R-squared	0.351	0.392	0.338	0.324	0.306	0.309	0.308	0.315	0.352	0.364	0.401	0.433	0.470	0.533	0.535	0.556	0.579	0.586
Robust standard errors in parentheses																		
*** p<0.01, ** p<0.05, * p<0.1																		
